date,iso2,cumulative_cases,cumulative_negative_tests,cumulative_pending_tests,currently_hospitalized,currently_in_icu,cumulative_in_icu,currently_on_ventilator,cumulative_on_ventilator,cumulative_recovered,cumulative_deaths,cumulative_hospitalized,cumulative_test_results,deaths,hospitalized,negative_tests,cases,test_results,in_icu,on_ventilator,recovered
2020-03-08,US-MS,0.0,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-MT,0.0,11.0,,,,,,,,,,11,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-NC,2.0,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-ND,0.0,0.0,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-NE,1.0,17.0,5.0,,,,,,,,,18,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-NH,4.0,38.0,5.0,,,,,,,,,42,0.0,0.0,18.0,2.0,20.0,,,
2020-03-08,US-NJ,6.0,31.0,0.0,,,,,,,,,37,0.0,0.0,31.0,2.0,33.0,,,
2020-03-08,US-NM,0.0,48.0,0.0,,,,,,,,,48,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-NV,1.0,14.0,,,,,,,,,,15,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-NY,105.0,92.0,236.0,,,,,,,,,197,0.0,0.0,0.0,29.0,29.0,,,
2020-03-08,US-OH,0.0,10.0,4.0,,,,,,,,,10,0.0,0.0,1.0,0.0,1.0,,,
2020-03-08,US-OK,1.0,8.0,2.0,,,,,,,,,9,0.0,0.0,8.0,0.0,8.0,,,
2020-03-08,US-OR,14.0,100.0,53.0,,,,,,,,,114,0.0,0.0,23.0,7.0,30.0,,,
2020-03-08,US-PA,6.0,,,,,,,,,,,6,0.0,0.0,0.0,2.0,2.0,,,
2020-03-08,US-RI,3.0,30.0,12.0,,,,,,,,,33,0.0,0.0,0.0,1.0,1.0,,,
2020-03-08,US-SC,2.0,8.0,,,,,,,,,,10,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-SD,0.0,5.0,0.0,,,,,,,,,5,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-TN,3.0,,,,,,,,,,,3,0.0,0.0,0.0,2.0,2.0,,,
2020-03-08,US-TX,8.0,,,,,,,,,,,8,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-UT,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-VA,2.0,36.0,6.0,,,,,,,,,38,0.0,0.0,5.0,2.0,7.0,,,
2020-03-08,US-VT,1.0,28.0,,,,,,,,,,29,0.0,0.0,12.0,1.0,13.0,,,
2020-03-08,US-WA,245.0,640.0,60.0,,,,,,,31.0,,885,4.0,0.0,270.0,65.0,335.0,,,
2020-03-08,US-WI,1.0,31.0,12.0,,,,,,,,,32,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-WV,0.0,2.0,3.0,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-WY,0.0,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-AK,0.0,23.0,9.0,,,,,,,,,23,0.0,0.0,9.0,0.0,9.0,,,
2020-03-09,US-AL,0.0,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-AR,0.0,12.0,0.0,,,,,,,,,12,0.0,0.0,6.0,0.0,6.0,,,
2020-03-09,US-AZ,5.0,44.0,7.0,,,,,,,,,49,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-CA,114.0,690.0,,,,,,,,,,804,0.0,0.0,228.0,26.0,254.0,,,
2020-03-09,US-CO,9.0,133.0,69.0,,,,,,,,,142,0.0,0.0,29.0,1.0,30.0,,,
2020-03-09,US-CT,1.0,46.0,8.0,,,,,,,,,47,0.0,0.0,17.0,0.0,17.0,,,
2020-03-09,US-DC,1.0,14.0,3.0,,,,,,,,,15,0.0,0.0,4.0,0.0,4.0,,,
2020-03-09,US-DE,0.0,15.0,3.0,,,,,,,,,15,0.0,0.0,5.0,0.0,5.0,,,
2020-03-09,US-FL,18.0,140.0,115.0,,,,,,,,,158,0.0,0.0,22.0,1.0,23.0,,,
2020-03-09,US-GA,12.0,,,,,,,,,,,12,0.0,0.0,0.0,5.0,5.0,,,
2020-03-09,US-HI,2.0,,,,,,,,,,,2,0.0,0.0,0.0,1.0,1.0,,,
2020-03-09,US-IA,3.0,26.0,8.0,,,,,,,,,29,0.0,0.0,11.0,3.0,14.0,,,
2020-03-09,US-ID,0.0,41.0,,,,,,,,,,41,0.0,0.0,14.0,0.0,14.0,,,
2020-03-09,US-IL,7.0,191.0,44.0,,,,,,,,,198,0.0,0.0,0.0,1.0,1.0,,,
2020-03-09,US-IN,2.0,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-KS,1.0,11.0,0.0,,,,,,,,,12,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-KY,4.0,17.0,3.0,,,,,,,,,21,0.0,0.0,4.0,3.0,7.0,,,
2020-03-09,US-LA,1.0,5.0,,,,,,,,,,6,0.0,0.0,0.0,1.0,1.0,,,
2020-03-09,US-MA,41.0,,,,,,,,,,,41,0.0,0.0,0.0,28.0,28.0,,,
