iso2,admin_level,name,osm_id,population,timezone,lat,long,wikidata_id,wikipedia_id,iso1
FR-PDL,4,Pays de la Loire,8650,3757600.0,Europe/Paris,47.48,-0.82,Q16994,fr:Pays de la Loire,FR
FR-PF,3,French Polynesia,3412620,275918.0,Pacific/Tahiti,-15.38,-145.34,Q30971,fr:Polynésie française,FR
FR-PM,3,Saint Pierre and Miquelon,3406826,6057.0,America/Miquelon,46.93,-56.31,Q34617,fr:Saint-Pierre-et-Miquelon,FR
FR-RE,6,Réunion,77601,866506.0,Indian/Reunion,-21.13,55.53,Q17070,fr:La Réunion,FR
FR-TF,3,French Southern and Antarctic Lands,2186658,196.0,,-43.72,54.26,Q129003,fr:Terres australes et antarctiques françaises,FR
FR-YT,6,Mayotte,3388394,256518.0,Indian/Mayotte,-12.82,45.15,Q17063,fr:Mayotte,FR
GA-1,4,Estuaire,1243584,,Africa/Libreville,0.31,10.04,Q281109,fr:Estuaire (province),GA
GA-2,4,Haut-Ogooué,1243580,,Africa/Libreville,-1.33,13.73,Q654438,fr:Haut-Ogooué,GA
GA-3,4,Moyen-Ogooué,1243586,,Africa/Libreville,-0.43,10.57,Q590802,,GA
GA-4,4,Ngounié,1243583,,Africa/Libreville,-1.6,11.18,Q823774,,GA
GA-5,4,Nyanga,1243587,,Africa/Libreville,-3.02,11.05,Q846017,,GA
GA-6,4,Ogooué-Ivindo,1243581,,Africa/Libreville,0.48,12.85,Q823822,,GA
GA-7,4,Ogooué-Lolo,1243588,,Africa/Libreville,-0.85,12.62,Q823762,,GA
GA-8,4,Ogooué-Maritime,1243589,,Africa/Libreville,-1.58,9.67,Q823751,,GA
GA-9,4,Woleu-Ntem,1243582,,Africa/Libreville,1.4,11.95,Q823800,,GA
GB-ABD,6,Aberdeenshire,1900655,261470.0,Europe/London,57.24,-2.63,Q189912,,GB
GB-ABE,6,Aberdeen City,1900654,222793.0,Europe/London,57.16,-2.19,Q36405,,GB
GB-AGB,6,Argyll and Bute,1775685,86260.0,Europe/London,56.12,-5.5,Q202174,en:Argyll and Bute,GB
GB-AGY,6,Isle of Anglesey,298793,69700.0,Europe/London,53.29,-4.37,Q168159,,GB
GB-ANS,6,Angus,1921172,116040.0,Europe/London,56.72,-2.92,Q202177,"en:Angus, Scotland",GB
GB-BAS,6,Bath and North East Somerset,81941,192106.0,Europe/London,51.36,-2.48,Q810793,en:Bath and North East Somerset,GB
GB-BBD,6,Blackburn with Darwen,148780,148942.0,Europe/London,53.69,-2.47,Q880782,en:Blackburn with Darwen,GB
GB-BDF,6,Bedford,158396,171623.0,Europe/London,52.19,-0.48,Q894077,en:Borough of Bedford,GB
GB-BDG,8,London Borough of Barking and Dagenham,185483,211998.0,Europe/London,51.54,0.13,Q205358,en:London Borough of Barking and Dagenham,GB
GB-BEN,8,London Borough of Brent,75767,330795.0,Europe/London,51.56,-0.27,Q207201,,GB
GB-BEX,8,London Borough of Bexley,51903,247258.0,Europe/London,51.46,0.14,Q207208,en:London Borough of Bexley,GB
GB-BGE,6,Bridgend,99774,144876.0,Europe/London,51.56,-3.6,Q697126,,GB
GB-BGW,6,Blaenau Gwent,2750598,69713.0,Europe/London,51.77,-3.19,Q596885,,GB
GB-BIR,8,Birmingham,162378,1141374.0,Europe/London,52.49,-1.87,Q20986424,en:Birmingham,GB
GB-BKM,6,Buckinghamshire,172710,540059.0,Europe/London,51.79,-0.81,Q21694636,en:Buckinghamshire,GB
GB-BNE,8,London Borough of Barnet,51831,392140.0,Europe/London,51.62,-0.21,Q151048,,GB
GB-BNH,6,Brighton and Hove,114085,290395.0,Europe/London,50.84,-0.13,Q1022488,en:Brighton and Hove,GB
GB-BNS,8,Barnsley,106964,245199.0,Europe/London,53.54,-1.53,Q1857382,,GB
GB-BOL,8,Bolton,146937,285372.0,Europe/London,53.58,-2.47,Q1364541,en:Metropolitan Borough of Bolton,GB
GB-BPL,6,Blackpool,148603,139305.0,Europe/London,53.82,-3.03,Q20989106,en:Blackpool,GB
GB-BRC,6,Bracknell Forest,113682,121676.0,Europe/London,51.41,-0.74,Q896725,en:Bracknell Forest,GB
GB-BRD,8,Bradford,118323,537173.0,Europe/London,53.84,-1.85,Q2834810,,GB
GB-BRY,8,London Borough of Bromley,152126,331096.0,Europe/London,51.37,0.05,Q208201,en:London Borough of Bromley,GB
GB-BST,6,City of Bristol,57539,463405.0,Europe/London,51.47,-2.6,Q21693433,,GB
GB-BUR,8,Bury,146927,190108.0,Europe/London,53.59,-2.31,Q512036,en:Metropolitan Borough of Bury,GB
GB-CAM,6,Cambridgeshire,180837,651482.0,Europe/London,52.34,0.03,Q21272276,en:Cambridgeshire,GB
GB-CAY,6,Caerphilly,2750677,181019.0,Europe/London,51.65,-3.2,Q748065,en:Caerphilly County Borough,GB
GB-CBF,6,Central Bedfordshire,161643,283606.0,Europe/London,52.01,-0.44,Q1053723,en:Central Bedfordshire,GB
GB-CGN,6,Ceredigion,77904,72992.0,Europe/London,52.25,-4.07,Q217829,,GB
GB-CHE,6,Cheshire East,153487,380790.0,Europe/London,53.18,-2.35,Q1070590,en:Cheshire East,GB
GB-CHW,6,Cheshire West and Chester,153488,340502.0,Europe/London,53.2,-2.73,Q1070591,en:Cheshire West and Chester,GB
GB-CLD,8,Calderdale,118327,210082.0,Europe/London,53.72,-1.97,Q1026448,,GB
GB-CLK,6,Clackmannanshire,1920841,51400.0,Europe/London,56.15,-3.74,Q207268,en:Clackmannanshire,GB
GB-CMA,6,Cumbria,88065,498888.0,Europe/London,54.59,-2.9,Q23066,en:Cumbria,GB
GB-CMD,8,London Borough of Camden,51827,262226.0,Europe/London,51.55,-0.16,Q202088,en:London Borough of Camden,GB
GB-CMN,6,Carmarthenshire,57534,187568.0,Europe/London,51.91,-4.16,Q217840,,GB
GB-CON,6,Cornwall,57537,565968.0,Europe/London,50.41,-4.83,Q22338583,de:Cornwall,GB
GB-COV,8,Coventry,162370,366785.0,Europe/London,52.42,-1.52,Q20986417,,GB
GB-CRF,6,Cardiff,1625787,364248.0,Europe/London,51.51,-3.2,Q24342199,,GB
GB-CRY,8,London Borough of Croydon,51907,385346.0,Europe/London,51.36,-0.09,Q26888,en:London Borough of Croydon,GB
GB-CWY,6,Conwy,297287,117181.0,Europe/London,53.14,-3.73,Q817971,,GB
GB-DAL,6,Darlington,153377,106566.0,Europe/London,54.55,-1.55,Q1171024,en:Borough of Darlington,GB
GB-DBY,6,Derbyshire,195384,796142.0,Europe/London,53.14,-1.62,Q11775003,sv:Derbyshire (administrativt grevskap),GB
