fips,state_abbr,lat,long
13265,GA,33.559319,-82.875272
13267,GA,32.043768,-82.059208
13269,GA,32.554667,-84.251426
13271,GA,31.913641,-82.931063
13273,GA,31.777191,-84.439446
13275,GA,30.864619,-83.919815
13277,GA,31.457003,-83.525931
13279,GA,32.117812,-82.330626
13281,GA,34.902529,-83.732264
13283,GA,32.409586,-82.570882
13285,GA,33.034482,-85.02836
13287,GA,31.7248,-83.620319
13289,GA,32.665847,-83.425879
13291,GA,34.833333,-83.989257
13293,GA,32.881837,-84.292283
13295,GA,34.735802,-85.305456
13297,GA,33.783887,-83.731829
13299,GA,31.050881,-82.421507
13301,GA,33.419169,-82.688012
13303,GA,32.971843,-82.798112
13305,GA,31.547845,-81.912376
13307,GA,32.046691,-84.553828
13309,GA,32.105258,-82.733849
13311,GA,34.643776,-83.743417
13313,GA,34.801726,-84.968541
13315,GA,31.96272,-83.438259
13317,GA,33.779031,-82.747921
13319,GA,32.804266,-83.175512
13321,GA,31.551773,-83.84996
15001,HI,19.597764,-155.502443
15003,HI,21.580023,-158.123406
15005,HI,21.218764,-156.97401
15007,HI,22.012038,-159.705965
15009,HI,20.855931,-156.60155
16001,ID,43.451477,-116.244376
16003,ID,44.877004,-116.461624
16005,ID,42.692921,-112.228982
16007,ID,42.285892,-111.327517
16009,ID,47.218451,-116.633541
16011,ID,43.216357,-112.399206
16013,ID,43.394192,-113.955371
16015,ID,43.987275,-115.71511
16017,ID,48.316796,-116.612364
16019,ID,43.395171,-111.621878
16021,ID,48.773131,-116.524668
16023,ID,43.685101,-113.177631
16025,ID,43.502552,-114.772135
16027,ID,43.625796,-116.709058
16029,ID,42.786072,-111.544273
16031,ID,42.282313,-113.626328
16033,ID,44.290218,-112.354613
16035,ID,46.67257,-115.6535
16037,ID,44.273351,-114.252267
16039,ID,43.394698,-115.471205
16041,ID,42.173609,-111.822965
16043,ID,44.218091,-111.484429
16045,ID,44.061473,-116.398784
16047,ID,42.973185,-114.82142
16049,ID,45.849644,-115.467337
16051,ID,43.796965,-112.318588
16053,ID,42.691395,-114.262086
16055,ID,47.675966,-116.695922
16057,ID,46.81892,-116.730974
16059,ID,44.928506,-113.887042
16061,ID,46.236328,-116.42376
16063,ID,42.986181,-114.153899
16065,ID,43.788614,-111.656993
16067,ID,42.857211,-113.63984
16069,ID,46.333791,-116.760909
16071,ID,42.183895,-112.520449
16073,ID,42.572851,-116.18969
16075,ID,44.00243,-116.750238
16077,ID,42.694126,-112.844407
16079,ID,47.347694,-115.885092
16081,ID,43.760994,-111.211765
16083,ID,42.352309,-114.665639
16085,ID,44.85596,-115.618061
16087,ID,44.448223,-116.797792
17001,IL,39.986052,-91.194961
17003,IL,37.183658,-89.349516
17005,IL,38.885924,-89.436592
17007,IL,42.318983,-88.824295
17009,IL,39.962069,-90.750309
17011,IL,41.401304,-89.528377
17013,IL,39.164262,-90.666295
17015,IL,42.0709,-89.924189
17017,IL,39.969202,-90.245704
17019,IL,40.138985,-88.196975
17021,IL,39.545524,-89.279593
17023,IL,39.332334,-87.791683
17025,IL,38.746819,-88.482325
17027,IL,38.606295,-89.426228
17029,IL,39.51368,-88.220782
17031,IL,41.894294,-87.645455
17033,IL,39.002787,-87.760619
17035,IL,39.273121,-88.240619
17037,IL,41.894612,-88.768991
17039,IL,40.181499,-88.901853
17041,IL,39.766078,-88.222866
17043,IL,41.852058,-88.086039
17045,IL,39.679037,-87.74711
17047,IL,38.417095,-88.047941
